Word	Hints  
Bhishma	Originally Named As Devavrata, He Was The Eighth Son Of The Kuru King Shantanu And The River Goddess Ganga.
Bhrigu	Son Of Brahma. He Was Married To Puloma, Who Gave Birth To Chyavana.
Bhurishravas	Son Of Somadatta And The Grandson Of Bahlika, Hence Making Him The Cousin Of Dhritarashtra
Budha	Son Of Chandra, The Moon God, And Tara, Wife Of Brihaspati.
Chandra	Moon God. He Is Son Of Anusuya And Atri.
Chekitana	Son Of Kekaya King Dhrishtaketu And Queen Shrutakirti, A Yadava.
Chitrangada	Elder Son Of Shantanu And Satyavati, Ascending The Throne Of Hastinapura After His Fathers Death.
Chitrasena	King Of The Gandharvas Who Prevented The Kauravas From Putting Up Their Camp Near The Pond Where He Himself Had Encamped.
Chitravahana	King Of Manipura And The Father Of Chitrangadaa.
Damayanti	Princess Of The Vidarbha Kingdom, Who Married King Nala Of The Nishadha Kingdom.
Dantavakra	King Of Karusha
Dashraj	Chief Fisherman Of Hastinapura And The Adoptive Father Of Satyavati.
Devaki	Daughter Of Ugrasena, The Stepsister Of Kansa, Wife Of Vasudeva
Devayani	Daughter Of Shukra, The Guru Of The Asuras. She Was Married To Yayati
Devika	Daughter Of Govasena, The King Of The Sivi Kingdom, And The Second Wife Of Yudhishthira
Dhrishtadyumna	Son Of Drupada And The Brother Of Draupadi, Shikhandi, And Satyajit
Dhritrashtra	King Of Kuru Kingdom With Its Capital Hastinapur. He Was Born To Vichitraviryas First Wife Ambika.
Draupadi	Also Referred To As Panchalī, She Was Born From A Yajna Organized By Panchala King Drupada
Drona	Royal Preceptor To The Kauravas And Pandavas.
Drupada	Son Of King Prishata. He Was The King Of The Land Of Southern Panchala.
Durmasena	Son Of Dushasana.
Duryodhana	Eldest Of The Kauravas
Dushala	Daughter Of Dhritarashtra And Gandhari
Dushasana	Kaurava Prince, The Second Son Of The Blind King Dhritarashtra And Gandhari
Dushyanta	Husband Of Shakuntala And The Father Of The Emperor Bharata.
Ekalavya	Prince Of The Nishadha, A Confederation Of Jungle Tribes
Gandhari	Princess Of Gandhara & Wife Of Dhritrashtra
Ganga	First Wife Of Shantanu, And The Mother Of Heroic Warrior-Patriarch, Bhishma.
Ghatotkacha	Son Of The Pandava Bhima And Hidimbi.
Hidimba	Rakshasa And The Brother Of Hidimbi
Hidimbi	Married Bhima And Gave Birth To Ghatotkacha.
Ila	She Married Budha, Son Of Chandra, And Had A Son Named Pururavas.
Indra	Son Of Kashyapa And Aditi. He Is The Spiritual Father Of Arjuna.
Jambavati	Daughter Of The Bear-King Jambavan. Krishna Married Her
Janamejaya	Kuru King And A Descendant Of Arjuna.
Jarasandha	King Of Magadha. He Was A Descendant Of A King Brihadratha
Jaratkaru	Married To Manasa.  Gave Birth To Astika Who Saved The Snakes From Being Burnt During The Snake Sacrifice.
Jayadratha	King Of Sindhu Kingdom. He Was The Son Of King Vridhakshtra. He Was Married To Kauravas Only Sister Dushala.
Kadru	Daughter Of Daksha And Wife Of Kasyapa. She Was The Mother Of Thousand Nāgas.
Kalvakra	Most Loyal Companion And Main Bodyguard Of Kansa.
Kamsa	Tyrant Ruler Of The Vrishni Kingdom With Its Capital At Mathura. He Is The Brother Of Devaki
Kanika	Sage Of Hastinapur. He Acted As A Counselor To Dhritarashtra.
Karenumati	Daughter Of Chedi King Shishupala, And Sister Of His Successor Dhrishtaketu. She Was The Wife Of Pandava Nakula
Karna	Spiritual Son Of Surya
Kichaka	General Of The Mastya Kingdom. He Was The Brother Of Sudeshna, Queen Of Matsya.
Kripa	Son Of Śaradvān And Jānapadī, His Sister Kripi Were Adopted By King Shantanu.
Kripi	Sister Of Kripacharya. She And Her Brother Were Adopted By The Rajguru Of King Shantanu.
Krishna	Born To Devaki And Her Husband, Vasudeva Of The Yadava Clan In Mathura.
Kritavarma	One Of The Yadava Warriors Fought For Kauravas
Kunti	Daughter Of Shurasena, And The Foster Daughter Of His Cousin Kuntibhoja.
Kuntibhoja	Adoptive Father Of Kunti And Cousin Of Shurasena.
Kuru	Son Of Samvarana And Of Tapati, The Daughter Of The Sun.
Lakshmana Kumara	Son Of Duryodhana. He Had A Twin Sister Called Lakshmanaa Who Was Kidnapped By Samba
Lakshmanaa	Daughter Of Duryodhana And Bhanumati.
Madanjaya	Prime Minister Of Kuru Kingdom Before Vidura.
Madrasena	Younger Brother Of Shalya And Elder Brother Of Madri.
Madri	Sister Of Shalya, Second Wife Of Pandu
Malini	Maid Of Draupadi Married To A Kshatriyan Soldier Pralanksena.
Manasa	Wife Of Jaratkaru . They Had A Son, Astika, Who Saved The Serpents Including Takshaka From Sarpa Satra Organised By King Janamejaya
Markandeya	Blessed By Lord Shiva To Remain Young Till The End Of Kali Yuga
Meghavarna	Son Of Ghatotkach And Maurvi.
Menaka	Beautiful Apsara. She Was Sent By Indra To Fill Vishwamitra With Lust And Destroy His Penance.
Mourvi	Nrga Kanya Married To Ghatotkacha.
Muchukunda	Son Of King Mandhata, And Brother Of Equally Illustrious Ambarisha
Nahusha	King From Lunar Dynasty And An Ancestor Of Shantanu. He Was The Son Ayu And Prabha.
Nakula	Fourth Of The Five Pandava Brothers.
Nala	King Of Nishada. He Fell In Love With Damayanti And Married Her.
Nanda	Head Of The Gopas Tribe Of Yadava Cowherds
Narakasura	Son Of Bhumi, The Earth Goddess. He Gained A Boon That Only His Mother Could Kill Him.
Niramitra	Was The Son Of Nakula And His Wife Karenumati.
Padmavati	Wife Of Ugrasena. She Was The Mother Of Tyrant Kamsa.
Pandu	King Of Hastinapur, The Son Of Ambalika And Vichitravirya.
Parashara	Sage. He Was The Grandson Of Vasishtha, The Son Of Śakti Maharṣi, And The Father Of Vyasa.
Parashuram	Sixth Avatar Of Vishnu He Was Born To Destroy Evil Kshatriya
Parikshit	King From Kuru Lineage. He Was The Son Of Abhimanyu
Parishrami	Chief Maid Of Queens Ambika And Ambalika. She Was The Mother Of Vidura
Prabha	Daughter Of Asura Svarbhanu, Who Later Became Rahu And Ketu.
Pradyumna	Son Of Sri Krishna And Rukmini. He Is The Reincarnation Of Kamadeva, Who Was Burnt By Lord Shiva
Pratipa	Father Of Shantanu And Grandfather Of Bhishma.
Prativindhya	Son Of Yudhisthir And Draupadi. He Was The Eldest Brother Among Upapandavas.
Prishati	Wife Of King Drupada And The Mother Of Shikhandini And Satyajit.
Purochana	Builder Of The Lakshagraha.
Pururavas	First King From The Lunar Dynasty. He Was The Son Budha, Son Of Chandra, And Ilā.
Radha	Foster Mother Of Karna
Revati	Daughter Of King Kakudmi And Consort Of Balarama
Rohini	Chief Of Krishnas Junior Wives, Who Were Imprisoned By Narakasura.
Rohini	Wife Of Vasudeva And Mother Of Balrama
Rukmi	Ruler Of Vidarbha. He Was The Son Of King Bhishmaka And Elder Brother Of Rukmini.
Rukmini	First And Chief Queen Consort Of Krishna. She Was An Avatar Of Goddess Lakshmi.
Sahadeva	Youngest Of The Five Pandava Brothers.
Sakradeva	Son Of King Srutayudha And Queen Sakrayani Of Kalinga.
Samba	Mischievous Son Of Krishna And His Second Wife, Jambavati.
Samhika	Sage And His Son Cursed Parikshit
Samvarana	King From Lunar Dynasty And An Ancestor Of Shantanu. He Married Tapati, Daughter Of Surya, And Had A Child Named Kuru.
Sanjaya	Dhritarashtras Advisor And Also His Charioteer.
Satrajit	Satrajit Was A Yadava King And Father Of Satyabhama
Satyabhama	Third Consort Of The God Krishna. She Aided Krishna In Defeating The Demon Narakasura
Satyajit	Second Born Child Of King Drupada And Queen Prishati.
Satyaki	Better Known As Satyaki, Was A Powerful Warrior Belonging To The Vrishni Clan Of The Yadavas
Satyavati	Was A Fisherwoman Before Her Marriage With Shantanu.
Shakuni	Prince Of Gandhara Kingdom In Present-Day Gandhara, Brother Of Gandhari And Hence Duryodhanas Maternal Uncle.
Shakuntala	Wife Of Dushyanta And The Mother Of Emperor Bharata.
Shalva	King Of Shalva Kingdom. He And Amba, The Princess Of Kashi, Fell In Love And Amba Decided Chose Him During Her Swayamvara.
Shalya	Was The Brother Of Madri (Mother Of Nakula And Sahadeva), As Well As The Ruler Of The Madra Kingdom
Shankha	3Rd Son Of King Virata. He Was Killed By Shalya With His Two Brothers On Very First Day Of War.
Shantanu	Kuru King Of Hastinapura. He Was A Descendant Of The Bharata Race. Youngest Son Of King Pratipa
Sharmishtha	Asura Princess And A Spouse Of Yayati, An Ancestor Of Shantanu.
Shatanika	Son Of Nakula And Draupadi. He Was The Second Brother Among Upapandavas.
Shaunaka	Headed The Sages During Their Conclave At His Twelve-Year Sacrifice, Where Ugrashravas Sauti Recited The Mahabharata.
Shikhandi	Born As A Baby Girl To Drupada. He Was Kashis Amba In Previous Birth.
Shishupala	Son Of Damaghosha. He Was Slain By His Cousin Krishna
Shon	Son Of Adhiratha And Radha, Who Were The Adoptive Parents Of Karna.
Shrutkarma	Son Of Arjuna And Draupadi. He Was The Youngest Brother Among Upapandavas.
Shrutsena	Son Of Sahadeva And Draupadi. He Was The Fourth Brother Among Upapandavas.
Shukracharya	Son Of Sage Bhrigu And His Wife Kavyamata.
Subala	Father Of Shakuni And Gandhari.
Subhadra	Sister Of Krishna And Balarama, Wife Of Arjuna
Sudakshina	King Of The Kambojas, And Fought On The Side Of The Kauravas In The Kurukshetra War.
Sudeshna	Wife Of King Virata, Mother Of Uttara
Sudharma	Mother Of Shakuni And Gandhari.
Sughada	Maid Of Gandhari And The Mother Of Yuyutsu.
Sulabha	Wife Of Vidura
Surya	God Of Sun. He Is Son Of Aditi And Kashyapa
Sutsoma	Son Of Bhima And Draupadi. He Was The Third Brother Among Upapandavas.
Svaha	Daughter Of Prajapati Daksha And The Wife Of Agni.
Takshaka	The King Nagas. He Lived In A City Named Takshasila
Tapati	River Goddess. She Is Daughter Of Surya And Chhaya. She Married Samvarana And Had A Child Named, Kuru. Kuru Was An Ancestor Of Shantanu.
Tara	Goddess Of Felicity. She Is Spouse Of Brihaspati, A Guru Of Gods.
Tilottama	Created By The Divine Architect Vishwakarma, At Brahmas Request, By Taking The Best Quality Of Everything As The Ingredients. She Was Responsible For Bringing About The Mutual Destruction Of The Asuras
Ugrasena	Yadava King Of Mathura, Grandfather Of Lord Krishna
Ugrashravas Sauti	Son Of Lomaharsana. He Was A Disciple Of Vyasa. He Was The Narrator Of Mahabharata And Several Puranas Before The Gathering Of The Sages In Naimisha Forest.
Uluka	Eldest Son Of Shakuni And Arshi. He Was Sent As Messenger To Pandavas By Duryodhana.
Ulupi	Daughter Of Kauravya, The King Of Nāgas, She Was Among The Four Wives Of Arjuna. She Had A Son Named Iravan.
Urvashi	Celestial Maiden In Indras Court And Was Considered The Most Beautiful Of All The Apsaras.
Usha	Daughter Of Banasura, She Married To Aniruddha, Grandson Of Lord Krishna.
Uttamaujas	Powerful Panchala Warrior. With His Brother Yudhamanyu, They Fought A Battle Against Duryodhana
Uttanka	Disciple Of The Sage Gautama.
Uttarā	Daughter Of King Virata, At Whose Court The Pandavas Spent A Year In Concealment During Their Exile.
Uttara	Prince Of Matsya Kingdom And The Son Of King Virata
Vajra	Son Of Aniruddha. King Of Indraprastha
Vajranabh	Son Of Bhanu, The Eldest Son Of Krishna And Satyabhama. He Had A Sister Named Bhanumati.
Valandhara	Princess Of Kashi Kingdom, And Wife Of Pandava Bhima. They Both Had A Son Sarvaga
Vapusthama	Princess Of Kashi, The Grand-Daughter Of King Sarvaga And Great-Granddaughter Of Bhima
Vasudeva	Father Of Krishna, Balarama And Subhadra
Vasundhara	Queen Of Manipura And The Mother Of Chitrangada
Vayu	God Of Wind. He Is Son Of Aditi And Kashyapa.
Vichitravirya	Younger Son Of Queen Satyavati And King Shantanu And Grandfather Of The Pandavas And Kauravas.
Vidura	Prime Minister Of The Kuru Kingdom And Also The Uncle Of The Pandavas And Kauravas.
Vijaya	Daughter Of King Dyutimata Of Madra And Wife Of Sahadeva.
Vikarna	Third Kaurava, Who Questioned The Humiliation Of Draupadi
Vinata	Mother Of Aruna And Garuda (The Birds). She Was Also The Daughter Of Daksha And Wife Of Sage Kasyapa.
Virata	Married To Queen Sudeshna And Was The Father Of Prince Uttara And Princess Uttara
Vishoka	Charioteer Of Pandava Bhima During The Kurukshetra War.
Vrikaasura	Second Son Of Shakuni. Was Master Of Sword Fighting
Vriprachitti	Youngest And Only Remaining Son Of Shakuni
Vrishaketu	Son Of King Of Anga Karna And His Chief Consort Maharani Supriya Also Youngest And Surviving Son Of Karna
Vrishasena	Son Of Karna And Vrishali. With His Father, He Entered Battle Field On The 11Th Day Of Kurukshetra War And Fought For Kauravas. He Was Killed By Arjuna.
Vyasa	Author Of Epic Mahabharata. Son Of Satyavati And Parashara
Yama	Death God
Yamuna	River Goddess Of Life. She Is Daughter Of Surya And Saranyu As Well As The Twin Of Yamraj.
Yashoda	Wife Of Nanda (Head Of Gokul) And Foster Mother Of Lord Krishna And Balarama.
Yaudheya	Son Of Yudhishthira And Devika, And The Grandson Of Govasena
Yayati	Ancestor Of Shantanu And The Son Of King Nahusha And Ashokasundari, The Daughter Of Goddess Parvati.
Yogmaya	Incarnation Of Goddess Adi Parashakti. She Was The Daughter Of Yashoda And Nanda
Yudhisthira	First Among The Five Pandavas And Was Blessed By Death God Yama To Pandu And Kunti.
Yuyutsu	Son Of Dhritarashtra With Dasi Aka Sughada/Sauvali, His Wife Gandharis Maid. He Was The Only Son Of Dhritarashtra Who Survived The Kurukshetra War.
