Word	Hint
Revati	Daughter of Raja Rewat of Arnta who marries Balarama
Rohini	The wife of Vasudeva and mother of Balarama
Rukmi	Elder brother of Rukmini
Rukmini	First wife and queen of Krishna
Sahadeva	Youngest of the Pandava princes
Sairandhri	Name Assumed by Arjuna while living at Viratas court in incognito
Samba	Son of Krishna, who married Lakshmana, daughter of Duryodhana.
Sandeepani	Teacher of Lord Krishna
Sanjaya	The narrator who tells blind Dhritarashtra the progress of the war
Sankirtan	Congregational chanting
Santanu	King of Hastinapura, father of Bhishma.
Satyabama	One of Lord's principal queens
Satyaki	A Yadava warrior, friend of Krishna
Satyavati	A fishermans daughter and wife of Shantanu.
Saugandhika	Fragrant flower that Bhima went to get for Draupadi.
Shakuni	Brother of Gandhari
Shantanu	King of Hastinapura, father of Bhishma
Shikhandi	Daughter-son of Drupada, A girl turned man
Shishupala	Cousin of Krishna - was slain by Krishna at the time of Dharmaputras Rajasuya sacrifice.
Sridama	One of Krishna’s closest cowherd boyfriends (Sakhas) in Vrindavan.
Subhadra	Wife of Arjuna, sister of Sri Krishna and mother of Abhimanyu.
Sudama	Krishna’s poor brahmin friend who offered Him a humble gift of chipped rice.
Sudarshana	The spinning golden disc that Krishna uses to protect the world.
Surabhi	The miraculous "Cows of Plenty" that Krishna tended in the pastures.
Trinavarta	The whirlwind demon who tried to carry baby Krishna high into the sky.
Trnavrata	Whirl wind demon came to kill Krishna
Uddhava	The friend and counselor of Krishna.
Ugrasena	King of Yadavas; deposed by his son Kams. His wife was Pavanrekha
Uttara	A daughter of the Raja of Virata. She married Abhimanyu
Vaijayanti	The colorful garland of forest flowers that Krishna always wears.
Vajra	The mark of a lightning bolt found on the sole of Krishna’s lotus feet.
Vasudeva	Krishna’s biological father who carried Him across the Yamuna river in a basket.
Vasuki	King of the Nagas or serpents who live in Patala.
Vatsasura	The demon who disguised himself as a small calf to hide among the herd.
Venu	Krishna's flute
Vidura	Son of a maid-servant who served the Queens of Hastinapura
Vikarna	A son of Dhritarashtra who declared the staking of Draupadi illegal
Vrindavan	The magical forest where Krishna played his flute and danced with the Gopis.
Yamuna	The holy river where Krishna performed water sports and defeated Kaliya.
Yashoda	Krishna’s foster mother who once saw the entire universe inside his mouth.
Yasoda	Wife of Nanda and foster-mother of, Krishna
Yayati	Ancestors of the Pandavas who became prematurely old due to Sukracharyas curse.
Yudhishthira	Eldest son of King Pandu and Queen Kunti
Yuyutsu	A noble son of Dhritarashtra, he also disapproved of the unfair way in which Abhimanyu was killed.
